"contaminant_name","health_effects_language"
"Total Coliform Bacteria","Coliforms are bacteria that are naturally present in the environment and are used as an indicator that other, potentially-harmful, bacteria may be present. Coliforms were found in more samples than allowed and this was a warning of potential problems."
"Fecal coliform and E. coli","Fecal coliforms and E. coli are bacteria whose presence indicates that the water may be contaminated with human or animal wastes. Microbes in these wastes can cause short-term effects, such as diarrhea, cramps, nausea, headaches, or other symptoms. They may pose a special health risk for infants, young children, and people with severely-compromised immune systems."
"Fecal Indicators (enterococci or coliphage)","Fecal indicators are microbes whose presence indicates that the water may be contaminated with human or animal wastes. Microbes in these wastes can cause shortterm health effect, such as diarrhea, cramps, nausea, headaches, or other symptoms. They may pose a special health risk for infants, young children, some of the elderly, and people with severely compromised immune systems."
"Total Organic Carbon (ppm)","Total organic carbon (TOC) has no health effects. However, total organic carbon provides a medium for the formation of disinfection byproducts. These byproducts include trihalomethanes (THMs) and haloacetic acids (HAAs). Drinking water containing these byproducts in excess of the MCL may lead to adverse health effects, liver, or kidney problems, or nervous system effects, and may lead to an increased risk of getting cancer."
"Turbidity (NTU)","Turbidity has no health effects. However, turbidity can interfere with disinfection and provide a medium for microbial growth. Turbidity may indicate the presence of disease-causing organisms. These organisms include bacteria, viruses, and parasites that can cause symptoms such as nausea, cramps, diarrhea and associated headaches."
"Beta/photon emitters (mrem/yr)","Certain minerals are radioactive and may emit forms of radiation known as photons and beta radiation. Some people who drink water containing beta and photon emitters in excess of the MCL over many years may have an increased risk of getting cancer."
"Alpha emitters (pCi/L)","Certain minerals are radioactive and may emit a form of radiation known as alpha radiation. Some people who drink water containing alpha emitters in excess of the MCL over many years may have an increased risk of getting cancer."
"Combined radium (pCi/L)","Some people who drink water containing radium 226 or 228 in excess of the MCL over many years may have an increased risk of getting cancer."
"Uranium (pCi/L)","Some people who drink water containing uranium in excess of the MCL over many years may have an increased risk of getting cancer and kidney toxicity."
"Antimony (ppb)","Some people who drink water containing antimony well in excess of the MCL over many years could experience increases in blood cholesterol and decreases in blood sugar."
"Arsenic (ppb)","Some people who drink water containing arsenic in excess of the MCL over many years could experience skin damage or problems with their circulatory system, and may have an increased risk of getting cancer."
"Asbestos (MFL)","Some people who drink water containing asbestos in excess of the MCL over many years may have an increased risk of developing benign intestinal polyps."
"Barium (ppm)","Some people who drink water containing barium in excess of the MCL over many years could experience an increase in their blood pressure."
"Beryllium (ppb)","Some people who drink water containing beryllium well in excess of the MCL over many years could develop intestinal lesions."
"Bromate (ppb)","Some people who drink water containing bromate in excess of the MCL over many years may have an increased risk of getting cancer."
"Cadmium (ppb)","Some people who drink water containing cadmium in excess of the MCL over many years could experience kidney damage."
